timestamp,date_GMT,team_name,a_team,ppg,Opp_PPG,PPG_Dif,goal_count,a_goal_count,corner_count,shots,shots_on_target,Opp_Shot_On_Target,SoT_Comp_Ratio,SoT_Diff,Goal_Sot,possession,xg,Op_Xg,xg_diff,odds_win,odds_draw,Win,prediction_label
1700077500,Nov 15 2023 - 7:45pm,Israel,Switzerland,1.36,1.7,-0.34,1,1,9,8,3,9,0.333333333,-6,0.333333333,51,1.02,1.97,-0.95,5,3.75,0,0
1700154000,Nov 16 2023 - 5:00pm,Georgia,Scotland,1.2,2.13,-0.93,2,2,4,8,7,6,1.166666667,1,0.285714286,36,1.14,1.67,-0.53,3.47,3.35,0,1
1700154000,Nov 16 2023 - 5:00pm,Estonia,Austria,0.11,2.38,-2.27,0,2,1,6,0,5,0,-5,0,31,0.55,1.57,-1.02,9.85,5.3,0,0
1700154000,Nov 16 2023 - 5:00pm,Azerbaijan,Sweden,0.88,1.25,-0.37,3,0,3,8,4,7,0.571428571,-3,0.75,36,1.07,2.01,-0.94,6.9,4.32,1,0
1700154000,Nov 16 2023 - 5:00pm,Cyprus,Spain,0,2.63,-2.63,1,3,0,4,4,6,0.666666667,-2,0.25,23,0.68,1.59,-0.91,28.5,12,0,0
1700154000,Nov 16 2023 - 5:00pm,Bulgaria,Hungary,0.5,2.25,-1.75,2,2,0,4,3,6,0.5,-3,0.666666667,41,0.58,1.86,-1.28,5.05,3.67,0,0
1700163900,Nov 16 2023 - 7:45pm,Montenegro,Lithuania,1.38,0.75,0.63,2,0,5,17,10,2,5,8,0.2,49,2.08,0.81,1.27,1.34,5,1,1
1700163900,Nov 16 2023 - 7:45pm,Slovakia,Iceland,2.2,1.08,1.12,4,2,12,14,9,3,3,6,0.444444444,57,1.86,0.66,1.2,1.75,3.6,1,1
1700163900,Nov 16 2023 - 7:45pm,Luxembourg,Bosnia-Herzegovina,1.55,0.82,0.73,4,1,4,8,6,4,1.5,2,0.666666667,54,1.18,1.02,0.16,3.1,3.4,1,1
1700163900,Nov 16 2023 - 7:45pm,Liechtenstein,Portugal,0,3,-3,0,2,0,6,2,11,0.181818182,-9,0,17,0.58,3.11,-2.53,34.05,11.03,0,0
1700233200,Nov 17 2023 - 3:00pm,Kazakhstan,San Marino,1.64,0,1.64,3,1,6,11,8,2,4,6,0.375,60,1.57,0.66,0.91,1.05,14.5,1,1
1700240400,Nov 17 2023 - 5:00pm,Finland,Northern Ireland,1.64,0.9,0.74,4,0,3,9,6,4,1.5,2,0.666666667,59,1.29,1.06,0.23,1.97,3.43,1,1
